Id,SalePrice
2658,141890.0
2718,183656.0
2414,189032.0
1989,104973.0
625,184902.0
333,72315.0
1327,94606.0
858,133741.0
95,186461.0
1568,177023.0
2482,151454.0
1364,126943.0
2584,150961.0
818,280329.0
2673,163352.0
2089,119952.0
1297,155851.0
790,106215.0
2616,220541.0
720,204979.0
222,136763.0
557,122024.0
1148,195504.0
2766,158884.0
534,189831.0
1452,102834.0
630,120294.0
2648,118382.0
125,149671.0
1904,17798.0
1670,93877.0
756,72108.0
717,249582.0
1032,167136.0
852,214070.0
1731,172173.0
2639,118164.0
2071,55241.0
1267,91992.0
1851,193620.0
567,145231.0
2439,197938.0
1898,154632.0
647,167313.0
2256,231229.0
979,94074.0
1444,220846.0
2485,113854.0
157,113684.0
88,119732.0
2003,96062.0
186,206434.0
1425,249523.0
2695,115079.0
738,97386.0
395,153108.0
1353,159222.0
1878,154452.0
390,178259.0
1456,233930.0
1103,345365.0
1387,125917.0
2070,160326.0
1199,181700.0
2479,165874.0
501,312758.0
2362,80374.0
1718,205780.0
2188,59601.0
1483,160883.0
2557,53991.0
437,312653.0
2224,214697.0
1628,163872.0
397,121455.0
587,209470.0
2182,576511.0
971,155444.0
2611,162605.0
1887,66209.0
2399,343492.0
2148,206012.0
304,122461.0
1997,134510.0
2817,108159.0
1431,184554.0
427,312224.0
263,110933.0
598,186914.0
2895,250212.0
687,151028.0
1822,124275.0
2191,97173.0
179,123386.0
1009,203277.0
2010,103866.0
1991,135209.0
1411,162382.0
1721,229054.0
1144,183205.0
593,217739.0
575,288340.0
1249,190286.0
1604,116452.0
1064,441175.0
1923,164179.0
1988,91225.0
2325,170975.0
114,196578.0
2700,204735.0
217,157352.0
343,202302.0
386,226859.0
2005,99892.0
2908,132479.0
1814,236645.0
2446,472516.0
208,152499.0
1679,103496.0
822,310018.0
6,191428.0
1781,384803.0
2397,277103.0
2340,291492.0
1618,154639.0
2843,123896.0
1061,347170.0
2786,112122.0
1935,123783.0
1341,106007.0
521,276928.0
2136,123120.0
996,196330.0
227,148157.0
135,182586.0
