Id,SalePrice
2658,116995080.0
2718,130525864.0
2414,155897213.0
1989,93205764.0
625,119878517.0
333,55894281.0
1327,93951673.0
858,107411858.0
95,79291641.0
1568,117599006.0
2482,96045119.0
1364,86910645.0
2584,121131066.0
818,140918225.0
2673,127125931.0
2089,94705755.0
1297,123141785.0
790,104119157.0
2616,136167169.0
720,163123151.0
222,95241275.0
557,98058099.0
1148,111933308.0
2766,176907926.0
534,107845906.0
1452,85677046.0
630,129145954.0
2648,107746740.0
125,105304578.0
1904,51343368.0
1670,87602236.0
756,85186332.0
717,151129297.0
1032,118981558.0
852,126727341.0
1731,127302432.0
2639,93206325.0
2071,87387707.0
1267,85897514.0
1851,99107774.0
567,70325663.0
2439,127444721.0
1898,100287441.0
647,142432983.0
2256,96457598.0
979,54644165.0
1444,132680590.0
2485,93217344.0
157,78796032.0
88,96998209.0
2003,105058324.0
186,118296886.0
1425,121141199.0
2695,91366574.0
738,82341373.0
395,95983623.0
1353,116883999.0
1878,111919634.0
390,121052787.0
1456,132309331.0
1103,166118935.0
1387,137402219.0
2070,132837040.0
1199,140073463.0
2479,101026309.0
501,147911831.0
2362,91113914.0
1718,89884442.0
2188,63843202.0
1483,74355546.0
2557,70666538.0
437,228902045.0
2224,216884924.0
1628,111617668.0
397,101156429.0
587,176980085.0
2182,402611213.0
971,176515909.0
2611,112616460.0
1887,80319463.0
2399,175321770.0
2148,110646617.0
304,100369537.0
1997,73222273.0
2817,103824141.0
1431,135155594.0
427,157484672.0
263,89458304.0
598,162175675.0
2895,166908421.0
687,102548063.0
1822,94642527.0
2191,115301926.0
179,87241410.0
1009,87020660.0
2010,85412218.0
1991,114009299.0
1411,123455354.0
1721,90617480.0
1144,112320018.0
593,112851184.0
575,167571965.0
1249,146500263.0
1604,87932599.0
1064,193484957.0
1923,128449065.0
1988,62582778.0
2325,103103709.0
114,181929205.0
2700,137689046.0
217,137105565.0
343,129151426.0
386,108152469.0
2005,111241171.0
2908,145510007.0
1814,167827684.0
2446,339858256.0
208,101382103.0
1679,61961237.0
822,145428372.0
6,120990638.0
1781,170497649.0
2397,137687334.0
2340,127998772.0
1618,134128497.0
2843,104503835.0
1061,165614333.0
2786,98804684.0
1935,101989163.0
1341,77566002.0
521,137776373.0
2136,100989504.0
996,118625664.0
227,119085723.0
135,124366985.0
1167,74863573.0
294,140089097.0
1776,114293615.0
540,124356984.0
1717,88201074.0
2303,111222414.0
116,119814561.0
127,102535799.0
1371,110449924.0
